,Month,Average Players
23,January 2020,134.94
22,February 2020,878.94
21,March 2020,472.51
20,April 2020,549.40
19,May 2020,390.90
18,June 2020,313.53
17,July 2020,368.49
16,August 2020,304.32
15,September 2020,509.36
14,October 2020,422.06
13,November 2020,259.12
12,December 2020,229.12
