,0,1
0,The Beast Chicken Gyros Wrap,8.9                                   
1,The Beast Chicken Gyros Box,10.9                                   
2,The Beast Pork Gyros Wrap,8.9                                   
3,The Beast Pork Gyros Box,10.9                                   
4,The Beast Vegan Gyros Wrap (V),8.9                                   
5,The Beast Vegan Gyros Box (V),10.9                                   
