"Highest-paid Twitch stars worldwide 2020, by advertising revenue",
Leading Twitch streamers based on estimated annual advertising earnings in 2020 (in U.S. dollars),
,
AuronPlay,545245
Ibai,456855
Rubius,355536
Nickmercs,322109
xQcOW,308400
Asmongold,281056
Squeezie,254773
Mongraal,207992
Faker,198632
TheRealKnossi,196903
